SO,Society name (English),Description,Society Address (English),The name of the Society,The place of office of the Society,The whole of the objects for which the Society is established,The purposes for which the funds of the Society shall be applicable,The terms of admission of members,The conditions under which any member may become entitled to any benefit assured thereby,The fines and foreitures to be imposed on any member,The mode of holding meetings and fight of voting,"The manner of making, altering or rescinding rules",The appointment and removal of a commitee of management of a Treasurer and other officers and of Trustees,"In the case of a Society with branches, the composition of controll body, and the conditions under which a branch may code from the society",The investment of the funds,The keeping of the accounts,The audit of accounts once a year at least,"Annual returns to the registarar of the receipts, funds, effects and expenditure",The number of members of the Society,The inspection of the books of the Society by every person having an interest in the funds of the Society.,"The manner in which disputes between the society and any of its members, or any person claiming through a member of under the rules shall be settled.",
M,Designation Type,Designation Name,Local or Foriegn Member,Full name,NIC,Contact Number,Address line 1,Address line 2,City,District,Province,Gramaniladari Division,Is core Member,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"							"
SO,Society Limited,Descp,"No 15, Dhelgahawatta Road, Colombo 05",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,
M,1,President,1,fullname 1,900394241v,771425361,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,1,,,,,,,
M,2,Secretory,1,fullname 2,900394242v,771425362,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,1,,,,,,,
M,3,Treasurer,1,fullname 3,900394243v,771425363,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,1,,,,,,,
M,1,Vice President,1,fullname 4,900394244v,771425364,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,1,,,,,,,
M,2,Assistent Secretory,1,fullname 5,900394245v,771425365,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,1,,,,,,,
M,3,Assistent Treasurer,1,fullname 6,900394246v,771425366,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,1,,,,,,,
M,4,Office bearer,1,fullname 7,900394247v,771425367,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,1,,,,,,,
M,4,Office bearer,1,fullname 8,900394248v,771425368,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,1,,,,,,,
M,4,Office bearer,1,fullname 9,900394249v,771425369,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,0,,,,,,,
M,4,Office bearer,1,fullname 10,900394240v,771425370,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,1,,,,,,,
M,4,Office bearer,1,fullname 11,900394251v,771425371,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,0,,,,,,,
M,5,Other Members,1,fullname 12,900394252v,771425372,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,0,,,,,,,
M,5,Other Members,1,fullname 13,900394253v,771425373,Address 1,Address 2,Colombo,Colombo,Western,GN Division1,10400,Thimbirigasyaya,0,,,,,,,
